experiment_id,version,status,model,validation_scope,validation_mae,group_mae,public_mae,private_mae,notes
E000,V1,frozen_baseline,Weighted Quantile ExtraTrees,repeated_cv,0.147505,0.149202,0.1282776667,,Stable common comparison baseline
E001,V14 Blend95,historical_branch,95% V1 plus 5% auxiliary blend,fixed_5fold_candidate,0.149080,,0.1278085845,,Former public best preserved for blend lineage; not in final presentation main lineage
E002,V4,historical_control,Conservative Quantile ExtraTrees 50.5%,representative_train_only,0.147434,,0.1286866667,,Controlled quantile experiment; not in final presentation main lineage
E003,Team V7,lineage_milestone,ExtraTrees plus Pair-Neighbor,audit3,0.146644,,0.1272333333,,Representative team milestone in final presentation lineage
E004,BS V34,lineage_milestone,Tree and Pair joint tuning,bs_single_5fold,0.148033,,0.1271866667,,Representative BS milestone; source stress_project_BS 8_6/stress_prediction_final_candidates_0806.ipynb
E005,BS 8/6,final_adopted,ExtraTrees 76% plus Pair-Neighbor 24%,bs_single_5fold,0.147300,,0.1266866667,0.1473,Final presentation model; source stress_project_BS 8_6/stress_prediction_combined_final_0806_1.ipynb
